country_code,nb_users
IND,462
USA,239
BRA,144
IDN,139
MEX,83.1
JPN,78.6
PAK,71.7
DEU,67.8
VNM,63
PHL,58.1
TUR,57.5
GBR,56.2
FRA,50.7
EGY,44.7
KOR,44.3
THA,44.2
ITA,42.8
ESP,39.7
BGD,33.6
CAN,31.9
