country_code,nb_users
USA,3191
JPN,1072
DEU,907
GBR,748
IND,734
FRA,570
RUS,546
ITA,532
CAN,387
BRA,319
MEX,282
NLD,279
ESP,275
IRN,260
POL,249
AUS,224
TWN,217
CHN,196
IDN,190
UKR,177
PAK,164
SWE,144
ARG,142
PHL,119
COL,112
HKG,102
KOR,99
CHE,95
THA,93
AUT,90
