country_code,nb_users
USA,84.6
BRA,28.05
MEX,19.45
DEU,15.88
FRA,10.65
CAN,8.44
ITA,8.08
GBR,7.61
ARG,7.09
ESP,7.01
JPN,6.93
COL,5.97
POL,5.42
NLD,4.43
CHL,3.57
AUS,3.45
BEL,2.69
PRT,2.06
ROM,2.01
GRC,1.84
