country_code,nb_users
IND,182.35
USA,108.8
PAK,26.35
FRA,25.9
GBR,23.15
SAU,21.75
DEU,18.65
MEX,17.15
IRQ,16.75
EGY,15.65
TUR,15
NGA,13.05
CAN,11.45
RUS,8.05
AUS,7.95
PHL,7.75
BRA,7.35
DZA,7.15
NLD,7.15
COL,6.05
