country_code,nb_users
IND,229.55
USA,143.35
BRA,113.5
IDN,89.15
TUR,48.65
JPN,45.7
MEX,36.7
GBR,28.75
DEU,27.45
ITA,26.2
FRA,23.75
ARG,23.4
ESP,21.9
KOR,19.25
COL,17.75
PHL,17.55
THA,17.35
CAN,15.9
EGY,15.35
IRQ,14
