country_code,nb_users
IND,314.6
USA,175
IDN,119.9
BRA,109.05
MEX,83.75
PHL,80.3
VNM,66.2
THA,48.1
BGD,43.25
EGY,42
PAK,37.3
GBR,34.4
COL,33.5
TUR,32.8
FRA,30.4
ITA,27.95
ARG,27.35
DEU,24.5
PER,22.85
ZAF,22.15
