name,display_name,relevance_score,country_code,type,works_count,cited_by_count
University of Glasgow,University of Glasgow,121716.695,GB,education,137385,3881885
"Queen Mary University of London
Hong Kong University of Science & Technology",,-1,GB,,-1,-1
"Queen Mary University of London
Jožef Stefan Institute",,-1,GB,,-1,-1
L3S and Leibniz University of Hannover,,-1,DE,,-1,-1
"University of Technology Sydney
Australian National University",,-1,AU,,-1,-1
Rose-Hulman Institute of Technology,Rose–Hulman Institute of Technology,19358.023,US,education,3102,29282
University of Notre Dame,University of Notre Dame,130126.48,US,education,70487,1983056
Cornell Tech,,-1,US,,-1,-1
University of Minnesota Twin Cities,University of Minnesota,76218.35,US,education,270584,10133157
University of Central Florida,University of Central Florida,77839.36,US,education,63591,1298817
"Artificial Intelligence Institute, University of South Carolina, USA",Dalle Molle Institute for Artificial Intelligence Research,8504.125,CH,facility,2161,169307
"BITS Pilani, India",Birla Institute of Technology and Science - Hyderabad Campus,3593.1958,IN,education,4570,43236
"Bakar Computational Health Sciences Institute, University of California, USA",,-1,US,,-1,-1
New York University Abu Dhabi,New York University Abu Dhabi,38295.18,AE,education,4694,89513
Memetica,,-1,US,,-1,-1
"School of Social Sciences and Technology, Technical University of Munich",,-1,DE,,-1,-1
Erowid.org,,-1,US,,-1,-1
University of Massachusets Amherst,,-1,US,,-1,-1
ASAPP,,-1,US,,-1,-1
"Department of Computer Science, Vanderbilt University, Nashville, TN",,-1,US,,-1,-1
"Department of Computer Science, Vanderbilt University, Nashville, TN
Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, TN
Department of Biostatistics, Vanderbilt University Medical Center, Nashville, TN",,-1,US,,-1,-1
"Department of Sociology, Vanderbilt University, Nashville, TN",,-1,US,,-1,-1
"Department of Neurology, Vanderbilt University Medical Center, Nashville, TN
Vanderbilt Memory and Alzheimer's Center, Vanderbilt University Medical Center, Nashville, TN",,-1,US,,-1,-1
"Department of Neurology, Vanderbilt University Medical Center, Nashville, TN",,-1,US,,-1,-1
"Department of Computer Science, Vanderbilt University, Nashville, TN
Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, TN",,-1,US,,-1,-1
"Cyprus University of Technology
University College London",,-1,CY,,-1,-1
Delft University of Technology,Delft University of Technology,137344.2,NL,education,125530,3002139
IMDEA Networks Institute,,-1,ES,,-1,-1
Max Planck Institute for Demographic Research,Max Planck Institute for Demographic Research,29919.2,DE,facility,2143,66261
Max Planck Institute of Demographic Research,,-1,DE,,-1,-1
"Netherlands Interdisciplinary Demographic Institute
University of Groningen",,-1,NL,,-1,-1
"University of Washington, USA",University of Washington,214177.34,US,education,396023,15797965
GESIS Germany,,-1,DE,,-1,-1
"Indian Institute of Technology Kharagpur, India",Indian Institute of Technology Kharagpur,99054.016,IN,education,53701,911759
"Accenture Labs, Bangalore, India",,-1,IN,,-1,-1
"Indian Institute of Technology Kharagpur, India
Leibniz University of Hannover, Germany",Indian Institute of Technology Kharagpur,99054.016,IN,education,53701,911759
JLU Giessen,,-1,DE,,-1,-1
"Department of Computer Science, University of Toronto
Oxford Internet Institute, University of Oxford",,-1,CA,,-1,-1
"Department of Computer Science, University of Toronto",,-1,CA,,-1,-1
"Department of Computer Science, University of Chile
Millennium Institute for Foundational Research on Data (IMFD), Santiago, Chile",,-1,CL,,-1,-1
"Department of Computer Science, University of Chile
Millennium Institute for Foundational Research on Data (IMFD), Santiago, Chile
National Center for Artificial Intelligence (CENIA), Santiago, Chile",,-1,CL,,-1,-1
"Data Science Institute, Universidad del Desarrollo",,-1,CL,,-1,-1
Amazon.com,Amazon (United States),3642.6216,US,company,7352,89657
The Pennsylvania State University,,-1,US,,-1,-1
Oracle Labs,,-1,US,,-1,-1
CISPA Helmholtz Center for Information Security,,-1,DE,,-1,-1
TU Delft,Delft University of Technology,27748.785,NL,education,125530,3002139
"Foundation for Research and Technology - Hellas (FORTH)
Department of Computer Science, University of Crete",,-1,US,,-1,-1
Foundation for Research and Technology - Hellas (FORTH),,-1,US,,-1,-1
"School of Electrical and Computer Engineering, Technical University of Crete
Institute of Computer Science, Foundation for Research and Technology - Hellas",,-1,GR,,-1,-1
The University of Texas at San Antonio,The University of Texas at San Antonio,98844.99,US,education,32050,737837
"CyberAgent, Inc.",CyberAgent (Japan),1932.5731,JP,company,225,843
Tokushima University,Tokushima University,54019.535,JP,education,39511,643682
"Northwestern University
University of Washington",,-1,US,,-1,-1
Carleton University,Carleton University,72132.01,CA,education,52420,1053100
Macaulay Honors College (Hunter CUNY),,-1,US,,-1,-1
"Human Language Technology Research Institute
The University of Texas at Dallas",,-1,US,,-1,-1
Adobe Research,,-1,US,,-1,-1
"Aalto University, Espoo, Finland",Aalto University,68384.42,FI,education,43395,864149
"Aalto University, Espoo, Finland
University of Helsinki, Helsinki, Finland",Aalto University,68384.42,FI,education,43395,864149
The Hong Kong University of Science and Technology,,-1,HK,,-1,-1
"Qatar Computing Research Institute, Hamad bin Khalifa University",,-1,QA,,-1,-1
"Qatar Computing Research Institute, Hamad bin Khalifa University",,-1,QA,,-1,-1
Universitat Pompeu Fabra Eurecat,,-1,ES,,-1,-1
Universitat Pompeu Fabra,Pompeu Fabra University,25408.395,ES,education,34249,919769
University of Fribourg,University of Fribourg,52324.1,CH,education,25727,635254
Aristotle University of Thessaloniki,Aristotle University of Thessaloniki,134259.5,GR,education,78696,1503128
"CEA Tech Occitanie, IRIT, Université de Toulouse, CNRS",,-1,FR,,-1,-1
"IRIT, Université de Toulouse, CNRS",Toulouse Institute of Computer Science Research,13354.044,FR,facility,8466,98538
"CEA LIST, Nano-Innov",CEA LIST,24281.943,FR,government,4031,53867
Queen Mary University,Queen Mary University of London,111713.87,GB,education,91822,2603001
National University of Defense Technology,National University of Defense Technology,50247.223,CN,education,63834,477347
Indiana University Network Science Institute,,-1,US,,-1,-1
Università degli Studi di Milano,University of Milan,35784.81,IT,education,160589,4044840
Télécom ParisTech University,,-1,FR,,-1,-1
Robert Gordon University,Robert Gordon University,33616.76,GB,education,7319,134714
SentiSum,,-1,GB,,-1,-1
"University of California, Davis","University of California, Berkeley",203838.98,US,education,325100,15870524
Institute for Molecular Manufacturing,Institute for Molecular Manufacturing,3142.2861,US,nonprofit,50,1388
University of Southern California Information Sciences Institute,,-1,US,,-1,-1
University of Duisburg-Essen,University of Duisburg-Essen,119458.99,DE,education,60772,1303835
Institute of Informatics and Telematics-CNR,,-1,IT,,-1,-1
Institute of Computational Linguistics-CNR,,-1,IT,,-1,-1
University of Pisa,University of Pisa,102497.945,IT,education,96945,2171352
IIT-CNR,Institute of Informatics and Telematics,10044.367,IT,facility,2653,48530
University of Bologna,University of Bologna,113122.44,IT,education,152580,3436152
Scuola Normale Superiore di Pisa,Scuola Normale Superiore,15026.623,IT,education,11522,310989
Università della Svizzera italiana (USI),,-1,CH,,-1,-1
Universitat Politècnica de València,Universitat Politècnica de València,152366.78,ES,education,55310,1012116
ISTI-CNR,,-1,IT,,-1,-1
Università della Svizzera Italiana (USI),,-1,CH,,-1,-1
The University of Sheffield,,-1,GB,,-1,-1
Aalto University,Aalto University,68384.42,FI,education,43395,864149
École polytechnique fédérale de Lausanne (EPFL),,-1,CH,,-1,-1
Toyohashi University of Technology,Toyohashi University of Technology,35437.707,JP,education,17869,216214
National Institute of Advanced Industrial Science and Technology (AIST),,-1,JP,,-1,-1
Bard College,Bard College,14530.307,US,education,2724,42647
University of Toledo,University of Toledo,50472.43,US,education,32828,620671
University of Vienna,University of Vienna,101075.914,AT,education,118547,2866176
University of Melbourne,University of Melbourne,165500.2,AU,education,243471,7164054
University of Virginia,University of Virginia,115220.39,US,education,150917,4644004
State University of Southwestern of Bahia,Southwest Bahia State University,1040.3645,BR,education,8458,38253
Federal University of Bahia,Universidade Federal da Bahia,9016.599,BR,education,38331,367163
Middlesex University,Middlesex University,33565.57,GB,education,13724,287346
University Mediterranea of Reggio Calabria,University of Reggio Calabria,3822.3599,IT,education,9089,166409
Nokia Bell Labs Cambridge,,-1,GB,,-1,-1
University of Southampton and Max Planck Institute for Demographic Research,,-1,GB,,-1,-1
University of Washington and Max Planck Institute for Demographic Research,,-1,GB,,-1,-1
Wittgenstein Centre,,-1,AT,,-1,-1
Università Bocconi,Bocconi University,3603.7246,IT,education,14689,334883
Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais,138700.28,BR,education,98062,1212568
Ben-Gurion University of the Negev,Ben-Gurion University of the Negev,177557.81,IL,education,75152,1550321
Miami University,Miami University,42696.734,US,education,29521,564681
Rochester Institute of Technology,Rochester Institute of Technology,43788.066,US,education,22867,362498
Mental Health Association of Rochester,,-1,US,,-1,-1
IIIT Hyderabad,"International Institute of Information Technology, Hyderabad",3067.9534,IN,education,3951,46564
Microsoft Corp.,,-1,US,,-1,-1
Microsoft,Microsoft (United States),53351.97,US,company,25892,1086818
Microsoft Corporation,Microsoft (United States),16596.82,US,company,25892,1086818
American University of Beirut,American University of Beirut,54800.098,LB,education,20925,445616
Politecnico di Milano,Politecnico di Milano,150404.9,IT,education,84308,1476700
"DISI, University of Trento",,-1,CA,,-1,-1
"Eurecat, Centre Tecnologic de Catalunya",,-1,ES,,-1,-1
University of North Carolina at Charlotte,University of North Carolina at Charlotte,87359.79,US,education,30820,562874
University of Piraeus,University of Piraeus,23070.363,GR,education,8828,110008
Universitat Pompeu Fabra. Barcelona,Pompeu Fabra University,24143.719,ES,education,34249,919769
"Universitat Pompeu Fabra, Catalunya",Pompeu Fabra University,25408.395,ES,education,34249,919769
"Eurecat, Centre Tecnològic de Catalunya",,-1,ES,,-1,-1
University of Milan,University of Milan,146321.56,IT,education,160589,4044840
"Data Sciences and Analytics Group, Visual Analytics Group",,-1,US,,-1,-1
"National Security Directorate, Pacific Northwest National Laboratory",,-1,US,,-1,-1
University of North Carolina-Chapel Hill,University of North Carolina at Chapel Hill,110453.24,US,education,216827,8426871
Wuhan University,Wuhan University,79365.98,CN,education,145479,2370672
Indiana University-Indianapolis,Indiana University – Purdue University Indianapolis,47214.105,US,education,101697,3221646
 Indiana University-Indianapolis,Indiana University – Purdue University Indianapolis,47048.723,US,education,101697,3221646
University of Regensburg,University of Regensburg,78787.44,DE,education,50267,1428265
MPI-SWS,Max Planck Institute for Software Systems,10017.581,DE,facility,1807,37945
University of Texas at Arlington,The University of Texas at Arlington,80565.74,US,education,37129,728209
Pushshift.io,,-1,US,,-1,-1
Elon University,Elon University,15328.006,US,education,3659,40385
University of Amsterdam,University of Amsterdam,145763.73,NL,education,167067,5602789
Wellesley College,Wellesley College,33117.58,US,education,9167,207196
Ecole Polytechnique Fédérale de Lausanne,,-1,CH,,-1,-1
Federal University of Minas Gerais (UFMG),,-1,BR,,-1,-1
Georgia State University,Georgia State University,71597.26,US,education,49253,1168310
The University of Edinburgh,,-1,GB,,-1,-1
University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill,393519,US,education,216827,8426871
MPI for Informatics,,-1,DE,,-1,-1
Princeton University,Princeton University,166647.38,US,education,152162,7586053
Saarland Informatics Campus,,-1,DE,,-1,-1
RMIT University,RMIT University,66349.086,AU,education,48758,957518
Maxar Technologies,Maxar Technologies (United States),2084.2942,US,company,180,852
Cosumnes River College,Cosumnes River College,3520.3872,US,education,76,1025
Santa Clara University,Santa Clara University,41811.4,US,education,12384,226238
"Cornell Tech
Cornell University",,-1,US,,-1,-1
Technion,Technion – Israel Institute of Technology,76941.59,IL,education,92498,2445755
"QCRI, Doha, Qatar",Quantum Chemistry Research Institute,2912.5132,JP,facility,257,5101
"Sofia University “St Kliment Ohridski”, Bulgaria",,-1,BG,,-1,-1
"University of Padova, Italy",,-1,IT,,-1,-1
Social Media Analysis Toolkit,,-1,,,-1,-1
University of Kansas,University of Kansas,81294.13,US,education,79320,1998746
University of Texas at Austin,The University of Texas at Austin,244624.17,US,education,213849,7105332
"Data Science and Big Data Analytics, Eurecat - Centre Tecnòlogic de Catalunya",,-1,ES,,-1,-1
"TIS.pt - Consultores em Transportes Inovação e Sistemas, S.A.",,-1,PT,,-1,-1
"Dept. of International Research Projects - ERAdiate+, University of Žilina",,-1,SK,,-1,-1
ADAPT Centre,,-1,IE,,-1,-1
"IMDEA Networks Institute
King's College London",,-1,ES,,-1,-1
Observatory on Social Media,,-1,US,,-1,-1
"Observatory on Social Media
Politecnico di Milano",,-1,US,,-1,-1
"School of Social Sciences, University of Manchester, UK
Corridor Labs, London, UK",Moscow School of Social and Economic Sciences,356.24225,RU,education,108,390
"IIIT-Delhi, India",,-1,IN,,-1,-1
Tattle Civic Technologies,,-1,IN,,-1,-1
"Berkman Klein Center for Internet & Society, Harvard University
Media Cloud",,-1,US,,-1,-1
"College of Arts, Media and Design, Northeastern University
Media Cloud",Colorado State University,3064.0479,US,education,91461,2772695
Media Cloud,,-1,US,,-1,-1
"Berkman Klein Center for Internet & Society, Harvard University",,-1,US,,-1,-1
"School of Information & Library Science, University of North Carolina at Chapel Hill",,-1,US,,-1,-1
"Shorenstein Center on Media, Politics and Public Policy, Harvard University
Berkman Klein Center for Internet & Society, Harvard University
Media Cloud",,-1,US,,-1,-1
"Civic Studios
Media Lab, Massachusetts Institute of Technology",,-1,US,,-1,-1
"Media Lab, Massachusetts Institute of Technology",Health Media Lab,175.14471,US,facility,4,6
"Department of Urban Studies and Planning, Massachusetts Institute of Technology",,-1,US,,-1,-1
"Media Cloud
Berkman Klein Center for Internet & Society, Harvard University",,-1,US,,-1,-1
"Harvard Law School, Harvard University
Berkman Klein Center for Internet & Society, Harvard University
Media Cloud",,-1,US,,-1,-1
"College of Information & Computer Sciences, University of Massachusetts Amherst
Berkman Klein Center for Internet & Society, Harvard University
Media Cloud",,-1,US,,-1,-1
"Polytechnic of Turin, Italy",Polytechnic University of Turin,25994.666,IT,education,58557,946904
"Federal University of Espírito Santo, Brazil",Universidade Federal do Espírito Santo,10387.934,BR,education,29051,201345
"Telefonica Research, Spain",Telefonica Research and Development,12506.301,ES,company,2361,41965
Myntra Designs Pvt. Ltd.,,-1,IN,,-1,-1
Microsoft Redmond,,-1,US,,-1,-1
"Bing Ads, Microsoft",,-1,US,,-1,-1
"Microsoft Research, India",Microsoft Research (United Kingdom),42965.01,GB,company,12686,750186
"Department of Computer Science and Information Engineering, National Taiwan University, Taiwan",,-1,TW,,-1,-1
"Department of Computer Science, National Chengchi University, Taiwan
MOST Joint Research Center for AI Technology and All Vista Healthcare, Taiwan",,-1,TW,,-1,-1
"Department of Computer Science and Information Engineering, National Taiwan University, Taiwan
MOST Joint Research Center for AI Technology and All Vista Healthcare, Taiwan",,-1,TW,,-1,-1
"University of Tennessee, Knoxville",University of Tennessee at Knoxville,104856.76,US,education,105628,2936049
Know-Center GmbH,,-1,AT,,-1,-1
"eMentalist Labs, Austria
University of Vienna, Austria",,-1,AT,,-1,-1
"eMentalist Labs, Austria",,-1,AT,,-1,-1
"Indraprastha Institute of Information and Technology, Delhi, India",,-1,IN,,-1,-1
"Indian Institute of Information Technology, Dharwad, India",Indian Institute of Information Technology Allahabad,14916.604,IN,education,5222,41552
"Guru Gobind Singh Indraprastha University, Delhi, India",Guru Gobind Singh Indraprastha University,37483.504,IN,education,6330,55640
"International Institute of Information and Technology, Hyderabad, India",,-1,IN,,-1,-1
University of Texas at San Antonio,The University of Texas at San Antonio,87427.52,US,education,32050,737837
Ashoka University,Ashoka University,5131.052,IN,education,1284,5119
Microsoft Research Lab,,-1,US,,-1,-1
"University of Michigan
Microsoft Research India",,-1,US,,-1,-1
University of Illinois at Urbana - Champaign,,-1,US,,-1,-1
"University of Pennsylvania
National Institute on Drug Abuse",,-1,US,,-1,-1
National Institute on Drug Abuse,National Institute on Drug Abuse,77245.836,US,facility,9954,503519
"Politecnico di Milano
Università di Bologna",,-1,IT,,-1,-1
"Politecnico di Milano
Indiana University Bloomington",,-1,IT,,-1,-1
Arizona State Universtity,,-1,US,,-1,-1
Loyola University Chicago,Loyola University Chicago,82305.48,US,education,37520,786719
"University of Oxford
LMU Munich",,-1,GB,,-1,-1
University of Luxembourg,University of Luxembourg,34993.734,LU,education,42639,355110
IRIT,Toulouse Institute of Computer Science Research,13354.044,FR,facility,8466,98538
"School of Information Sciences, The University of Tennessee Knoxville",Knowledge Systems Institute,164.0221,US,education,131,2256
"Computer Science, Rensselaer Polytechnic Institute",French Institute for Research in Computer Science and Automation,36801.973,FR,government,48876,1329528
"Computer Science and Engineering, University at Buffalo","Laboratory of Industrial and Human Automation Control, Mechanical Engineering and Computer Science",3459.7683,FR,facility,6202,45526
"Network Science Institute, Northeastern University",,-1,US,,-1,-1
"School of Journalism and Media Innovation, Northeastern University",,-1,US,,-1,-1
Aalborg University Copenhagen,,-1,DK,,-1,-1
City University of London,"City, University of London",53511.902,GB,education,28764,543469
"Institute of Computer Science, University of Tartu, Estonia",Institute of Computer Science,19781.834,PL,facility,6937,85812
"Department of Computer Science and Information Systems, BITS Pilani - Hyderabad, India",,-1,IN,,-1,-1
"School of Computer Science and Engineering, Nanyang Technological University, Singapore",,-1,SG,,-1,-1
"Indraprastha Institute of Information Technology, Delhi, India",Indraprastha Institute of Information Technology Delhi,17145.537,IN,education,4044,37096
"International Institute of Information Technology, Hyderabad, India","International Institute of Information Technology, Hyderabad",13855.695,IN,education,3951,46564
UCLA,"University of California, Los Angeles",149514.7,US,education,301706,13181029
University of California,"University of California, Berkeley",203838.98,US,education,325100,15870524
"Vermont Complex Systems Center, University of Vermont",,-1,US,,-1,-1
"College of Information Studies, University of Maryland",,-1,US,,-1,-1
"Department of Computer Science, University of Illinois at Chicago",,-1,US,,-1,-1
"College of Information and Computer Sciences, University of Massachusetts Amherst",,-1,US,,-1,-1
"College of Information Science and Technology, Pennsylvania State University",,-1,US,,-1,-1
University of Copenhagen,University of Copenhagen,156946.72,DK,education,190585,5921731
"New Mexico State University
Syracuse University",,-1,US,,-1,-1
New Mexico State University,New Mexico State University,67795.18,US,education,29060,687757
Utah State University,Utah State University,72092.37,US,education,40627,1065259
University of Calabria,University of Calabria,51110.344,IT,education,29398,572608
Singapore Management University,Singapore Management University,33745.223,SG,education,12740,225897
University of Zurich,University of Zurich,138255.23,CH,education,134337,4524287
University of Lausanne,University of Lausanne,97965.66,CH,education,68671,2228694
The University of Queensland,,-1,AU,,-1,-1
Soongsil University,Soongsil University,26191.863,KR,education,10810,134366
"Knowledge Media Institute, The Open University, UK",,-1,GB,,-1,-1
"City, University of London",City University of Hong Kong,30729.88,CN,education,82128,2127133
