name,display_name,relevance_score,country_code,type,works_count,cited_by_count
Politecnico di Torino,Polytechnic University of Turin,17443.756,IT,education,58557,946904
Inria,French Institute for Research in Computer Science and Automation,50021.7,FR,government,48876,1329528
"Kno.e.sis, Wright State University",,-1,US,,-1,-1
Wright State Research Institute,,-1,US,,-1,-1
"DFKI, TU Kaiserslautern",German Research Centre for Artificial Intelligence,13495.276,DE,nonprofit,7402,97090
University of Turin philipp,,-1,IT,,-1,-1
Applied Intelligence Research Center Technological University Dublin,,-1,IE,,-1,-1
Indiana University Bloomington,Indiana University Bloomington,164329.69,US,education,79337,2795990
Language Technologies Institute Carnegie Mellon University,,-1,US,,-1,-1
MIT,Massachusetts Institute of Technology,136937.39,US,education,263296,15118629
University of Illinois at Urbana-Champaign,,-1,US,,-1,-1
"University of California, Irvine","University of California, Berkeley",203838.98,US,education,325100,15870524
"Max Planck Institute for Informatics, Saarland Informatics Campus",Max Planck Institute for Informatics,52349.87,DE,facility,7530,246726
Purdue University,Purdue University West Lafayette,105130.4,US,education,153095,4680889
Bloomberg LP,,-1,US,,-1,-1
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,116938.91,US,education,49637,1394782
University of California Santa Barbara,"University of California, Santa Barbara",226215.48,US,education,105026,4773451
Virginia Polytechnic Institute and State University,Virginia Tech,17991.34,US,education,129138,3071137
Technical University of Denmark,Technical University of Denmark,118811.35,DK,education,93937,2881823
University at Buffalo,"University at Buffalo, State University of New York",94709.98,US,education,108957,2949391
"Kennedy School of Government, Harvard University",,-1,US,,-1,-1
"Research Centre on Interactive Media, Smart Systems and Emerging Technologies",,-1,CY,,-1,-1
New York University,New York University,185120.72,US,education,209287,7771382
University of Oxford,University of Oxford,212166.17,GB,education,336490,13450675
IIT Kharagpur,Indian Institute of Technology Kharagpur,6932.9946,IN,education,53701,911759
University of Southampton,University of Southampton,120871.5,GB,education,136156,3786883
"Indian Institute of Technology, Kharagpur",Indian Institute of Technology Kharagpur,55094.887,IN,education,53701,911759
"Indian Institute of Engineering Science and Technology, Shibpur","Indian Institute of Engineering Science and Technology, Shibpur",28254.889,IN,education,11052,121880
FaceBook,Meta (Israel),5066.072,US,company,4101,288201
University of Edinburgh,University of Edinburgh,150334.84,GB,education,191967,6092703
Georgia Tech,Georgia Institute of Technology,22622.865,US,education,153788,4837598
Harvard Medical School,,-1,US,,-1,-1
NYU Shanghai,New York University Shanghai,1681.4543,CN,education,2597,39733
"Computational Social Science, GESIS",,-1,DE,,-1,-1
Drexel University,Drexel University,101021.25,US,education,60953,1746158
"CyberAgent, Inc",CyberAgent (Japan),1932.5731,JP,company,225,843
"University of Alberta, Edmonton",University of Alberta,131091.58,CA,education,201464,5521821
 University of Tsukuba,University of Tsukuba,92902.69,JP,education,104953,1909320
"University of Colorado at Boulder, Spotify",,-1,US,,-1,-1
Spotify,,-1,US,,-1,-1
"University of Colorado at Boulder, Santa Fe Institute",,-1,US,,-1,-1
Wikimedia Foundation,Wikimedia Foundation,3267.6182,US,nonprofit,155,2346
King's College London,King's College London,209957.42,GB,education,175958,5205767
Massachusetts Institute of Technology,Massachusetts Institute of Technology,270326.66,US,education,263296,15118629
Macquarie University,Macquarie University,84212.234,AU,education,69534,1609984
Cardiff University,Cardiff University,102989.29,GB,education,88796,2548169
Universidade de Vigo,Universidade de Vigo,74961.516,ES,education,33244,634389
Universidad de Granada,University of Granada,18937.273,ES,education,81449,1500817
Snap Inc.,,-1,US,,-1,-1
Tsinghua University,Tsinghua University,161625.34,CN,education,270636,5650355
Grenoble Ecole De Management,Grenoble Ecole de Management,19228.12,FR,education,2374,27470
Beibei Group,,-1,CN,,-1,-1
ISI Foundation,ISI Foundation,7190.828,US,other,552,6879
IT University of Copenhagen,IT University of Copenhagen,26555.652,DK,education,4937,78682
Hamad bin Khalifa University,Hamad bin Khalifa University,46994.008,QA,education,6703,113817
Sofia University,Sofia University,30005.99,BG,education,17101,216099
Pompeu Fabra University,Pompeu Fabra University,115214.24,ES,education,34249,919769
Eurecat,,-1,ES,,-1,-1
University of Illinois at Chicago,University of Illinois at Chicago,199966.92,US,education,143198,3939547
IIIT-Delhi,,-1,IN,,-1,-1
Bloomberg,Bloomberg (United States),17677.195,US,company,5107,111567
Netaji Subhas Institute of Technology,Netaji Subhas University of Technology,3398.669,IN,education,5620,43660
University of California Riverside,"University of California, Riverside",131427.6,US,education,72978,2501163
University College Dublin,University College Dublin,106247.56,IE,education,72581,1740740
Huawei Ireland Research Center,,-1,IE,,-1,-1
Leibniz University Hannover,Leibniz University Hannover,81752.5,DE,education,51254,860809
Leibniz University of Hannover,,-1,DE,,-1,-1
University of Mississippi,University of Mississippi,47451.836,US,education,30255,631685
Khulna University of Engineering and Technology,Khulna University of Engineering and Technology,16217.249,BD,education,3798,29826
University of Toronto,University of Toronto,227293.6,CA,education,417214,14394493
National University of Singapore,National University of Singapore,157063.92,SG,education,202377,5989870
Adobe Research India,,-1,IN,,-1,-1
Megagon Labs,,-1,US,,-1,-1
Korea Advanced Institute of Science and Technology,Korea Advanced Institute of Science and Technology,121037.62,KR,education,89760,2041692
Yonsei University,Yonsei University,107420.28,KR,education,134459,2498830
University of Kent,University of Kent,61480.434,GB,education,41526,798943
ETH Zurich,ETH Zurich,432761.66,CH,education,160841,5612285
University of Cambridge,University of Cambridge,199574.42,GB,education,306691,12532575
KTH Royal Institute of Technology,KTH Royal Institute of Technology,145913.36,SE,education,84313,2068947
University of Iowa,University of Iowa,125874.47,US,education,145893,4769613
Lorica Health,,-1,AU,,-1,-1
CSIRO Data61,,-1,AU,,-1,-1
University of Pittsburgh,University of Pittsburgh,173538.05,US,education,226396,8205012
International Institute of Information Technology-Hyderabad,"International Institute of Information Technology, Hyderabad",21436.664,IN,education,3951,46564
Indraprastha Institude of Information Technology-Delhi,,-1,IN,,-1,-1
University of Minnesota,University of Minnesota,218073.23,US,education,270584,10133157
University of Applied Sciences and Arts of Southern Switzerland (SUPSI),,-1,CH,,-1,-1
Universidade Federal Fluminense,Universidade Federal Fluminense,66040.25,BR,education,54243,398774
Max-Planck-Institut für Informatik,Max Planck Institute for Informatics,12991.34,DE,facility,7530,246726
Binghamton University,Binghamton University,62792.92,US,education,28659,653175
"University of California, San Diego","University of California, Berkeley",203838.98,US,education,325100,15870524
Johns Hopkins University,Johns Hopkins University,383028.7,US,education,355682,15534901
"NTT DOCOMO, INC.",,-1,JP,,-1,-1
The University of Tokyo,The University of Tokyo,199760.02,JP,education,390590,9669355
Facebook Inc,,-1,US,,-1,-1
École Polytechnique,École Polytechnique Fédérale de Lausanne,132452.42,CH,education,126812,4839755
"CentraleSupélec, Inria",CentraleSupélec,23269.492,FR,facility,8684,106776
Telefonica Research,Telefonica Research and Development,12506.301,ES,company,2361,41965
Boston University,Boston University,142668.97,US,education,166135,6861922
"University of California, Los Angeles","University of California, Berkeley",203838.98,US,education,325100,15870524
Qatar Computing Research Institute,,-1,QA,,-1,-1
Institute for Basic Science,Institute for Basic Science,48926.047,KR,facility,13210,383278
Aston University,Aston University,53424.74,GB,education,27500,635478
"University of Michigan, Ann Arbor",University of Michigan–Ann Arbor,211956.42,US,education,845790,15945520
Universidade Federal de Pelotas (UFPel),,-1,BR,,-1,-1
Universidade Federal do Rio Grande do Sul (UFRGS),,-1,BR,,-1,-1
Ryerson University,Toronto Metropolitan University,10038.739,CA,education,28334,464443
University of Potsdam,University of Potsdam,58254.16,DE,education,37720,840124
Microsoft Research India,Microsoft Research (India),21258.74,IN,company,2143,63868
GESIS - Leibniz Institute for the Social Sciences,GESIS - Leibniz-Institute for the Social Sciences,17681.822,DE,facility,1906,20149
Arizona State University,Arizona State University,140018.84,US,education,143697,4336393
Penn State University,,-1,US,,-1,-1
University of Florida,University of Florida,151311.7,US,education,262110,7136040
Twitter,Twitter (United States),10625.035,US,company,2488,38823
Google,Google (United States),52718.2,US,company,22749,1249911
Bridgewater-Raritan Regional High School,,-1,US,,-1,-1
Stevens Institute of Technology,Stevens Institute of Technology,44133.207,US,education,17266,305156
Spotify Research,,-1,US,,-1,-1
University of Technology Sydney,University of Technology Sydney,85330.64,AU,education,67670,1424481
University of Georgia,University of Georgia,105414.44,US,education,109041,3639316
"University of North Carolina, Chapel Hill",University of North Carolina at Chapel Hill,158895.7,US,education,216827,8426871
Network Contagion Research Institute,,-1,US,,-1,-1
Syracuse University,Syracuse University,77949.91,US,education,57389,1338631
Emory University,Emory University,158949.11,US,education,167246,6069603
USC Information Sciences Institute,,-1,US,,-1,-1
Department of Computer Science and Engineering University of California,,-1,US,,-1,-1
"University of Illinois at Chicago
Ohio State University",,-1,US,,-1,-1
"The LNM Institute of Information Technology, Jaipur, India",,-1,IN,,-1,-1
"King's College London, London, UK",King's College London,209957.42,GB,education,175958,5205767
"German Institute of Global and Area Studies, Hamburg, Germany",,-1,DE,,-1,-1
"University of Surrey, Surrey, UK",University of Surrey,76019.305,GB,education,60197,1355861
"Telefonica Research, Barcelona, Spain",Telefonica Research and Development,12506.301,ES,company,2361,41965
"Computer Science and Engineering, University at Buffalo, Buffalo, USA","Laboratory of Industrial and Human Automation Control, Mechanical Engineering and Computer Science",3459.7683,FR,facility,6202,45526
Ben Gurion University of the Negev,Ben-Gurion University of the Negev,178670.48,IL,education,75152,1550321
"Department of Computer Science and Engineering, IIT Kharagpur, India",,-1,IN,,-1,-1
"Department of Electrical Engineering and Computer Science, IIT Bhilai, India",,-1,IN,,-1,-1
"Microsoft Research, Redmond, WA, USA",Microsoft Research (United Kingdom),42965.01,GB,company,12686,750186
"University of Michigan, School of Information",University of Michigan–Ann Arbor,211956.42,US,education,845790,15945520
University of New Mexico,University of New Mexico,109343.25,US,education,78092,2321447
"IT University of Copenhagen, Copenhagen, Denmark",IT University of Copenhagen,26555.652,DK,education,4937,78682
"IT University of Copenhagen, Copenhagen, Denmark
ISI Foundation, Turin, Italy",IT University of Copenhagen,26555.652,DK,education,4937,78682
"Department of Informatics, King’s College London, London","Department of Physics, Mathematics and Informatics",1211.6064,BY,facility,3772,4831
Mozilla,Mozilla Foundation,3645.7817,US,nonprofit,111,3325
Ecole Polytechnique Federale de Lausanne,,-1,CH,,-1,-1
Max Planck Institute for Informatics,Max Planck Institute for Informatics,52349.87,DE,facility,7530,246726
Temple University,Temple University,83998.66,US,education,77575,1966274
University of Houston,University of Houston,80964.88,US,education,78577,1837889
"Graz University of Technology
neccton GmbH",,-1,AT,,-1,-1
Graz University of Technology,Graz University of Technology,68141.86,AT,education,34854,772435
neccton GmbH,,-1,AT,,-1,-1
Nottingham Trent University,Nottingham Trent University,61420.355,GB,education,20394,371399
Max Plank Institute for Informatics,,-1,DE,,-1,-1
University of Passau,University of Passau,20403.861,DE,education,7718,82216
RWTH Aachen,RWTH Aachen University,177254.78,DE,education,113129,2465243
"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China
University of Chinese Academy of Sciences, Beijing, China",,-1,CN,,-1,-1
"CAS Key Laboratory of Network Data Science and Technology, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China",,-1,CN,,-1,-1
"Beijing Zongqing Xiangqian Science and Technology Co Ltd, Beijing, China",,-1,CN,,-1,-1
"Dept of Computer Science, UC Riverside",,-1,US,,-1,-1
"Department of Computer Science, Purdue University, West Lafayette, Indiana 47907",,-1,US,,-1,-1
"RWTH Aachen University
GESIS - Leibniz Institute for the Social Sciences",,-1,DE,,-1,-1
"Underscore, Seoul, South Korea
MyMusicTaste, Seoul, South Korea",,-1,KR,,-1,-1
"KAIST College of Business, Seoul, South Korea",,-1,KR,,-1,-1
"Department of Computer Science, University of California, Los Angeles",,-1,US,,-1,-1
"Department of Applied Artificial Intelligence, Sungkyunkwan University",,-1,KR,,-1,-1
"Georgia Institute of Technology, Atlanta, GA",Georgia Institute of Technology,145841.89,US,education,153788,4837598
"University of Central Florida, Orlando, FL",University of Central Florida,77839.36,US,education,63591,1298817
"Boston University, Boston, MA",Boston University,142668.97,US,education,166135,6861922
Pohang University of Science and Technology,Pohang University of Science and Technology,100834.17,KR,education,44172,1277207
University of Bristol,University of Bristol,131318.92,GB,education,152044,5011371
"The University of Tokyo
JST, PRESTO",,-1,JP,,-1,-1
National Institute of Informatics,National Institute of Informatics,22633.037,JP,facility,9744,117063
"GESIS - Leibniz Institute for the Social Sciences, Germany
University of Konstanz, Germany",GESIS - Leibniz-Institute for the Social Sciences,17681.822,DE,facility,1906,20149
"GESIS - Leibniz Institute for the Social Sciences, Germany",GESIS - Leibniz-Institute for the Social Sciences,17681.822,DE,facility,1906,20149
"GESIS - Leibniz Institute for the Social Sciences, Germany
University of Koblenz-Landau, Germany",GESIS - Leibniz-Institute for the Social Sciences,17681.822,DE,facility,1906,20149
"Université Paris Nanterre, France
Respondi SAS, France",Université Paris Nanterre,41171.832,FR,education,15448,109736
Dartmouth College,Dartmouth College,107219.56,US,education,58442,2266977
NEC Corporation,NEC (United States),2828.2373,US,company,1000,36967
"Department of Computer Science, Dartmouth College",,-1,US,,-1,-1
"Moody College of Communication, University of Texas at Austin",,-1,US,,-1,-1
"Northeastern University, Boston, MA, USA",Northeastern University,74399.59,US,education,53669,1502694
"Google Research, Mountain View, CA, USA",,-1,US,,-1,-1
"University of Pennsylvania, Philadelphia, PA, USA",University of Pennsylvania,204335.56,US,education,307520,13012314
"Computing and Software System Division, University of Washington",,-1,US,,-1,-1
"Earth Lab, University of Washington",,-1,US,,-1,-1
"Texas A&M University, College Station, TX",,-1,US,,-1,-1
Texas A&M,,-1,US,,-1,-1
"University of Florida, Gainesville, FL",University of Florida,151311.7,US,education,262110,7136040
"University of California, Berkeley","University of California, Berkeley",203838.98,US,education,325100,15870524
"University of Pisa, Dept. of Information Engineering, Pisa, Italy
National Research Council of Italy Institute of Informatics and Telematics, Pisa, Italy",University of Pisa,102497.945,IT,education,96945,2171352
"University of Pisa, Dept. of Information Engineering, Pisa, Italy",University of Pisa,102497.945,IT,education,96945,2171352
"National Research Council of Italy Institute of Informatics and Telematics, Pisa, Italy",,-1,IT,,-1,-1
"Department of Computer Science, University of Exeter, UK
Observatory on Social Media, Indiana University Bloomington, USA",,-1,GB,,-1,-1
"Observatory on Social Media, Indiana University Bloomington, USA",,-1,US,,-1,-1
"Center for Information Technology Policy, Princeton University",,-1,US,,-1,-1
"Institute for Digital Public Infrastructure, University of Massachusetts Amherst",,-1,US,,-1,-1
"School of AI Convergence, Soongsil University, South Korea",,-1,KR,,-1,-1
"Singapore Management University, Singapore",Singapore Management University,33745.223,SG,education,12740,225897
"Qatar Computing Research Institute, Qatar",,-1,QA,,-1,-1
"Google Research, USA",,-1,US,,-1,-1
"Imperial College London, UK",Imperial College London,282183.6,GB,education,253733,9098367
"University of Amsterdam, Netherlands",University of Amsterdam,145763.73,NL,education,167067,5602789
IIIT Delhi,,-1,IN,,-1,-1
Özyeğin University,Özyeğin University,15678.965,TR,education,3456,45427
TOBB ETU,,-1,TR,,-1,-1
"QCRI, HBKU",Quantum Chemistry Research Institute,2912.5132,QA,facility,257,5101
Qatar University,Qatar University,35582.24,QA,education,25016,384018
"Johannes Kepler University, Linz Institute of Technology, AI Lab",Johannes Kepler University of Linz,57961.527,AT,education,26701,433218
Idiap Research Institute,Idiap Research Institute,18939.104,CH,facility,2637,55645
"TU Wien, Complexity Science Hub Vienna",TU Wien,124153.4,AT,education,64293,1444304
Federal University of Campina Grande,Universidade Federal de Campina Grande,7258.5107,BR,education,20446,96917
University of Würzburg,University of Würzburg,116952.46,DE,education,77283,2499744
Federal University of Minas Gerais,Universidade Federal de Minas Gerais,21669.746,BR,education,98062,1212568
GESIS,GESIS - Leibniz-Institute for the Social Sciences,12618.024,DE,facility,1906,20149
Delhi University,University of Delhi,19392.482,IN,education,54604,665041
University of California San Diego,"University of California, San Diego",326758.2,US,education,258371,11891234
"Nokia Bell Labs, IT University of Copenhagen",,-1,GB,,-1,-1
"Nokia Bell Labs, University of Nottingham",,-1,GB,,-1,-1
"Nokia Bell Labs, CUSP King's College London",,-1,GB,,-1,-1
"Optum Global Advantage (OGA), (UnitedHealth Group)",,-1,US,,-1,-1
Baidu Research,,-1,CN,,-1,-1
Indiana University Purdue University Indianapolis,Indiana University – Purdue University Indianapolis,218725.83,US,education,101697,3221646
"School of Computing and Information Systems, The University of Melbourne, Australia",,-1,AU,,-1,-1
"School of Computing and Information System, Singapore Management University, Singapore",,-1,SG,,-1,-1
University Pompeu Fabra,Pompeu Fabra University,38570.156,ES,education,34249,919769
Technische Universität Darmstadt,Technical University of Darmstadt,20646.822,DE,education,58319,1055538
FernUniversität in Hagen,University of Hagen,6640.853,DE,education,9854,77829
"University of California, Riverside","University of California, Berkeley",203838.98,US,education,325100,15870524
"Department of Computer Science and Engineering, University of Notre Dame",,-1,US,,-1,-1
"CASOS Center, Institute for Software Research, Carnegie Mellon University",,-1,US,,-1,-1
"Paul G. Allen School of Computer Science and Engineering, University of Washington",,-1,US,,-1,-1
"Paul G. Allen School of Computer Science & Engineering, University of Washington",,-1,US,,-1,-1
Differential Venture Partners,,-1,US,,-1,-1
"Human Language Technology Research Institute
University of Texas at Dallas",,-1,US,,-1,-1
"Paul G. Allen School of Computer Science and Engineering, University of Washington, Seattle, WA",,-1,US,,-1,-1
"University of Michigan
Australian National University",,-1,US,,-1,-1
"Department of Electronic Engineering, Tsinghua University",,-1,CN,,-1,-1
"School of Interactive Computing, Georgia Institute of Technology",,-1,US,,-1,-1
"University of Chicago
IIT Kharagpur",,-1,US,,-1,-1
"Software and Information Systems Engineering, Ben Gurion University, Israel",,-1,IL,,-1,-1
"School of Education, The Hebrew University of Jerusalem, Israel",Japan Graduate School of Education University,4550.133,JP,education,918,13081
"The Hong Kong University of Science and Technology, CSE Department",,-1,HK,,-1,-1
"University of Maryland, Baltimore County, Information Systems Department","University of Maryland, College Park",116595.414,US,education,182003,6260079
Tulane University,Tulane University,100968.53,US,education,64767,1985132
University of Illinois,University of Illinois Urbana-Champaign,159007.44,US,education,259308,9047461
"Max Planck Institute for Software Systems
Brown University",,-1,DE,,-1,-1
Max Planck Institute for Software Systems,Max Planck Institute for Software Systems,21586.29,DE,facility,1807,37945
CYENS Centre of Excellence,,-1,CY,,-1,-1
"CYENS Centre of Excellence
Aalto University",,-1,CY,,-1,-1
"Open University of Cyprus
CYENS Centre of Excellence",,-1,CY,,-1,-1
Georgetown University,Georgetown University,100002.55,US,education,82333,2294297
Humboldt University of Berlin,,-1,DE,,-1,-1
Kings College London,,-1,GB,,-1,-1
"Wikimedia Foundation
King’s College London",,-1,US,,-1,-1
"Rutgers University
Massachusetts Institute of Technology",,-1,US,,-1,-1
City University of Hong Kong,City University of Hong Kong,135658.08,CN,education,82128,2127133
"Futurewei Technologies, Inc.",,-1,US,,-1,-1
