year,country,countrydesc,cip,cipRank,quintile,dimension1,MVApc,MVApc_index,MXpc,MXpc_index,dimension2,INDint_index,MVAsh,MVAsh_index,MHVAsh,MHVAsh_index,MXQual_index,MXsh,MXsh_index,MHXsh,MHXsh_index,dimension3,ImWMVA,ImWMVA_index,ImWMT,ImWMT_index
1990,276,Germany,0.57788647700693,1,Top,0.4004786694239436,6464,0.558368869420846,4612,0.28723514767205,0.7320577182113109,0.612409850743935,0.218265256001083,0.488661817911064,0.479596641525561,0.736157883576805,0.875081454260978,0.910679711554393,0.921666324330114,0.688934857823846,0.828496584191842,0.6582682100730385,0.0965104295702497,0.433317036392762,0.147250041147247,1
1990,392,Japan,0.521868522980327,2,Top,0.2629911583536861,5749,0.496516487470032,2237,0.139299199759984,0.7819290095201014,0.616796283615482,0.203346424397065,0.451682945858682,0.508728179551122,0.781909621372281,0.991272146364372,0.970484145886576,0.982544292728744,0.831548217541378,1,0.6911540139079151,0.135191821563005,0.606997843729213,0.115882532133754,0.786977871298874
1990,840,United States of America,0.472152753699784,3,Top,0.17454717489311486,4677,0.403751611358999,1212,0.0754590580099949,0.6489730517286962,0.496322131932499,0.120196220921643,0.245580965686264,0.48654045427385,0.747063298178734,0.848573929657718,0.815926654338464,0.825212379279406,0.725056394235046,0.87193548003603,0.9291976301094826,0.22271945742469,1,0.127136903508435,0.863408235801079
1990,380,Italy,0.367337417368519,4,Top,0.2569602747601506,4421,0.381557985587467,2778,0.173049930282945,0.6232463328585546,0.499567813815423,0.161812173779526,0.348733212250604,0.424993498496642,0.650402415380241,0.777544070453572,0.94039974132381,0.951919850733511,0.501563516571364,0.603168290173632,0.3095065077697129,0.047632485774299,0.213853353673785,0.0659597604285923,0.447943774115085
1990,756,Switzerland,0.366946821501502,5,Top,0.7468594119001936,11567,1,8955,0.557798981143903,0.6312319053978324,0.470384875478034,0.163237668376206,0.352266544062445,0.385580369451337,0.588503206893622,0.847080208493619,0.933899768252779,0.945303198312518,0.622710885381958,0.748857218674721,0.10480490055087321,0.0145339772707457,0.0652398891013051,0.0247916796870289,0.16836428342823
1990,250,France,0.343583579319297,6,Top,0.23158033966628555,3134,0.270174277118273,3187,0.198499480749883,0.6317914793132848,0.503922764508888,0.106951299437092,0.212751165744751,0.517123310065197,0.795094363273026,0.792106452507423,0.860017219256848,0.87009440262353,0.593823967776817,0.714118502391316,0.2772182055528609,0.033539486222755197,0.15057529117896,0.0751528263300055,0.510375459932609
1990,826,United Kingdom,0.327377686883611,7,Top,0.21922586778836506,3279,0.28269897018428,2730,0.170004089778726,0.6049306477196382,0.445621615776149,0.103977125979612,0.205379168884345,0.447573019541921,0.685864062667953,0.821192409872518,0.840724274295071,0.850455134953582,0.658527717806439,0.791929684791454,0.26457563174988175,0.0353778745591266,0.158829719316363,0.0648968301031652,0.44072523213631
1990,124,Canada,0.292766297002641,8,Top,0.2785827655982363,4257,0.367390558856349,3392,0.21124211120163,0.5560491841373104,0.430623440659012,0.133570442935849,0.278731259073197,0.381767890225797,0.582515622244828,0.718007117091892,0.736091579138956,0.743944205115229,0.575489599085767,0.692070029068555,0.16199282742202747,0.022144120827634,0.0994097007035918,0.0388703585366355,0.263975003952855
1990,528,Netherlands,0.281480436560025,9,Top,0.35924579491682074,3603,0.310775171797321,6667,0.415276228210361,0.5468451181136043,0.440676478054295,0.115983406614894,0.235138785938907,0.422326714009523,0.646214170169684,0.678592114843574,0.758709083963851,0.766967710969959,0.490793494102756,0.590216518717189,0.1135242431278471,0.010183641906877,0.0457067306688851,0.0415195641885879,0.281966213490826
1990,056,Belgium,0.275565054643854,10,Top,0.4811365636948085,4268,0.368338603821558,10090,0.628477141744815,0.42794107119783903,0.250709998540663,0.145585063408849,0.308511547839867,0.133693025264031,0.192908449241459,0.730459740273387,0.853479466649866,0.863439292495823,0.496833585390056,0.597480188050951,0.10162957173512642,0.00806629146876102,0.0361997529061654,0.0420136384838671,0.285321556692341
1990,752,Sweden,0.246263289930994,11,Top,0.3706127942232095,4028,0.34757958984461,6344,0.395172349743956,0.6012114249726898,0.437412534882471,0.116640019606608,0.236766313378922,0.417133911327032,0.638058756386019,0.826348466705034,0.948722209391843,0.960391713291898,0.575685171783856,0.692305220118171,0.06702724952332724,0.00651804028942896,0.0292480507844741,0.0226184020371165,0.153605182504922
1990,702,Singapore,0.241220795273766,12,Top,0.530247543185302,4888,0.421978848704597,10697,0.666295142320923,0.7854349004056459,0.731395466415812,0.207827853329624,0.462790932831624,0.647593028497484,1,0.843467058660305,0.927532690248297,0.938821826523337,0.622091441933269,0.748112290797273,0.03370197676469619,0.00278146387727359,0.0124706915813971,0.0134114819453899,0.0910794105069893
1990,040,Austria,0.231335653825765,13,Top,0.35891872054462115,4709,0.406504866343823,5088,0.316903089293965,0.5895157546966496,0.437217977245231,0.151219920303434,0.322478503005593,0.362310563436051,0.551957451484868,0.794863988039163,0.938338858989386,0.949821974028726,0.532112695398374,0.6399060020496,0.05851082064215071,0.00686964013885366,0.0308267464456565,0.0163531350110285,0.111056680543733
1990,724,Spain,0.206118078114127,14,Top,0.1356747589140377,2811,0.242215105849763,1220,0.0759970776463456,0.5742736609899752,0.432287009036254,0.149506027028828,0.318230325816165,0.35873611034832,0.546343692256343,0.762896480377857,0.86002014356672,0.870097379426939,0.545242491903701,0.655695581328775,0.1123906794403584,0.0208108232014278,0.0934231475779278,0.0199095869126342,0.135209154824599
